"scenario_id","generator","mc","n","tau","p","signal","null","c","num_permut","alpha","min_size","methods","variants","ndsup","base_seed","change_kind","dependence","rho","phi","theta"
"dep_ar1_pos_scale_l3","dependent_change",100,300,0.333333,10,0.24,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000028,"scale","ar1","0.3","",""
"dep_ar1_pos_scale_l4","dependent_change",100,300,0.333333,10,0.32,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000029,"scale","ar1","0.3","",""
"dep_ar1_pos_scale_l5","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000030,"scale","ar1","0.3","",""
"dep_ar1_pos_tail_l1","dependent_change",100,300,0.333333,10,22,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000031,"tail","ar1","0.3","",""
"dep_ar1_pos_tail_l2","dependent_change",100,300,0.333333,10,17,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000032,"tail","ar1","0.3","",""
"dep_ar1_pos_tail_l3","dependent_change",100,300,0.333333,10,12,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000033,"tail","ar1","0.3","",""
"dep_ar1_pos_tail_l4","dependent_change",100,300,0.333333,10,7,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000034,"tail","ar1","0.3","",""
"dep_ar1_pos_tail_l5","dependent_change",100,300,0.333333,10,2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000035,"tail","ar1","0.3","",""
"dep_ar1_neg_mean_l1","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000036,"mean","ar1","-0.3","",""
"dep_ar1_neg_mean_l2","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000037,"mean","ar1","-0.3","",""
"dep_ar1_neg_mean_l3","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000038,"mean","ar1","-0.3","",""
"dep_ar1_neg_mean_l4","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000039,"mean","ar1","-0.3","",""
"dep_ar1_neg_mean_l5","dependent_change",100,300,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000040,"mean","ar1","-0.3","",""
"dep_ar1_neg_scale_l1","dependent_change",100,300,0.333333,10,0.08,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000041,"scale","ar1","-0.3","",""
"dep_ar1_neg_scale_l2","dependent_change",100,300,0.333333,10,0.16,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000042,"scale","ar1","-0.3","",""
"dep_ar1_neg_scale_l3","dependent_change",100,300,0.333333,10,0.24,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000043,"scale","ar1","-0.3","",""
"dep_ar1_neg_scale_l4","dependent_change",100,300,0.333333,10,0.32,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000044,"scale","ar1","-0.3","",""
"dep_ar1_neg_scale_l5","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000045,"scale","ar1","-0.3","",""
"dep_ar1_neg_tail_l1","dependent_change",100,300,0.333333,10,22,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000046,"tail","ar1","-0.3","",""
"dep_ar1_neg_tail_l2","dependent_change",100,300,0.333333,10,17,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000047,"tail","ar1","-0.3","",""
"dep_ar1_neg_tail_l3","dependent_change",100,300,0.333333,10,12,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000048,"tail","ar1","-0.3","",""
"dep_ar1_neg_tail_l4","dependent_change",100,300,0.333333,10,7,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000049,"tail","ar1","-0.3","",""
"dep_ar1_neg_tail_l5","dependent_change",100,300,0.333333,10,2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000050,"tail","ar1","-0.3","",""
"dep_arma_pos_mean_l1","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000051,"mean","arma11","","0.3","0.3"
"dep_arma_pos_mean_l2","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000052,"mean","arma11","","0.3","0.3"
"dep_arma_pos_mean_l3","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000053,"mean","arma11","","0.3","0.3"
"dep_arma_pos_mean_l4","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000054,"mean","arma11","","0.3","0.3"
"dep_arma_pos_mean_l5","dependent_change",100,300,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000055,"mean","arma11","","0.3","0.3"
"dep_arma_pos_scale_l1","dependent_change",100,300,0.333333,10,0.08,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000056,"scale","arma11","","0.3","0.3"
"dep_arma_pos_scale_l2","dependent_change",100,300,0.333333,10,0.16,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000057,"scale","arma11","","0.3","0.3"
"dep_arma_pos_scale_l3","dependent_change",100,300,0.333333,10,0.24,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000058,"scale","arma11","","0.3","0.3"
"dep_arma_pos_scale_l4","dependent_change",100,300,0.333333,10,0.32,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000059,"scale","arma11","","0.3","0.3"
"dep_arma_pos_scale_l5","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000060,"scale","arma11","","0.3","0.3"
"dep_arma_pos_tail_l1","dependent_change",100,300,0.333333,10,22,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000061,"tail","arma11","","0.3","0.3"
"dep_arma_pos_tail_l2","dependent_change",100,300,0.333333,10,17,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000062,"tail","arma11","","0.3","0.3"
"dep_arma_pos_tail_l3","dependent_change",100,300,0.333333,10,12,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000063,"tail","arma11","","0.3","0.3"
"dep_arma_pos_tail_l4","dependent_change",100,300,0.333333,10,7,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000064,"tail","arma11","","0.3","0.3"
"dep_arma_pos_tail_l5","dependent_change",100,300,0.333333,10,2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000065,"tail","arma11","","0.3","0.3"
"dep_arma_neg_mean_l1","dependent_change",100,300,0.333333,10,0.2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000066,"mean","arma11","","-0.3","-0.3"
"dep_arma_neg_mean_l2","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000067,"mean","arma11","","-0.3","-0.3"
"dep_arma_neg_mean_l3","dependent_change",100,300,0.333333,10,0.6,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000068,"mean","arma11","","-0.3","-0.3"
"dep_arma_neg_mean_l4","dependent_change",100,300,0.333333,10,0.8,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000069,"mean","arma11","","-0.3","-0.3"
"dep_arma_neg_mean_l5","dependent_change",100,300,0.333333,10,1,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000070,"mean","arma11","","-0.3","-0.3"
"dep_arma_neg_scale_l1","dependent_change",100,300,0.333333,10,0.08,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000071,"scale","arma11","","-0.3","-0.3"
"dep_arma_neg_scale_l2","dependent_change",100,300,0.333333,10,0.16,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000072,"scale","arma11","","-0.3","-0.3"
"dep_arma_neg_scale_l3","dependent_change",100,300,0.333333,10,0.24,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000073,"scale","arma11","","-0.3","-0.3"
"dep_arma_neg_scale_l4","dependent_change",100,300,0.333333,10,0.32,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000074,"scale","arma11","","-0.3","-0.3"
"dep_arma_neg_scale_l5","dependent_change",100,300,0.333333,10,0.4,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000075,"scale","arma11","","-0.3","-0.3"
"dep_arma_neg_tail_l1","dependent_change",100,300,0.333333,10,22,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000076,"tail","arma11","","-0.3","-0.3"
"dep_arma_neg_tail_l2","dependent_change",100,300,0.333333,10,17,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000077,"tail","arma11","","-0.3","-0.3"
"dep_arma_neg_tail_l3","dependent_change",100,300,0.333333,10,12,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000078,"tail","arma11","","-0.3","-0.3"
"dep_arma_neg_tail_l4","dependent_change",100,300,0.333333,10,7,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000079,"tail","arma11","","-0.3","-0.3"
"dep_arma_neg_tail_l5","dependent_change",100,300,0.333333,10,2,"false",0.1,300,0.05,50,"dist_profile;energy;graph;kernel","dist_cpd;dist_cpd_AD;dist_cpd_W",200,60000080,"tail","arma11","","-0.3","-0.3"
